Model,Shift_Type,Intensity,Accuracy,F1_Score,ROC_AUC,Brier_Score
Gradient Boosting,Prior Probability Shift,0.75,0.9261384903306301,0.9293254979778188,0.9198534047483424,0.05778293662984304
AdaBoost,Prior Probability Shift,0.75,0.9162819713038054,0.9214778650266968,0.9092358603259577,0.15887381368707393
Naïve Bayes,Prior Probability Shift,1.0,0.5319994699880747,0.6790010976384525,0.82213258530202,0.46279822511385854
Logistic Regression,Prior Probability Shift,1.0,0.930170928845899,0.9518570036322688,0.8996109030668358,0.055201407829567714
SVM (RBF),Prior Probability Shift,1.0,0.9389161256128263,0.956890548546823,0.9026410795409723,0.04788340882434627
Decision Tree,Prior Probability Shift,1.0,0.8713396051411156,0.9182210131944938,0.7479709882644466,0.12866039485888434
Random Forest,Prior Probability Shift,1.0,0.926858354312972,0.9502354723944938,0.9072553700945248,0.05677385863404149
Gradient Boosting,Prior Probability Shift,1.0,0.946733801510534,0.961437565744259,0.918142311565251,0.04612246350944446
AdaBoost,Prior Probability Shift,1.0,0.9369285808930701,0.9556820967261678,0.9111782421264136,0.15462662098799054
Naïve Bayes,Concept-Adjacent Shift,0.1,0.587777664039308,0.61053526982924,0.7995175517814938,0.4085397814079372
Logistic Regression,Concept-Adjacent Shift,0.1,0.7971133176374245,0.799708452220347,0.8381181002663916,0.1591312512978407
SVM (RBF),Concept-Adjacent Shift,0.1,0.8205548162555021,0.8188101296212811,0.8615737842038975,0.13186130133199356
Decision Tree,Concept-Adjacent Shift,0.1,0.7597502303204012,0.7691448900389178,0.7192528835863081,0.24024976967959874
Random Forest,Concept-Adjacent Shift,0.1,0.8046882997236156,0.8083774110021367,0.863523831856444,0.13324395309425505
Gradient Boosting,Concept-Adjacent Shift,0.1,0.8113420002047292,0.8122209017380698,0.8625041283716666,0.14258620378741887
AdaBoost,Concept-Adjacent Shift,0.1,0.8140034803971747,0.8135764018813753,0.8673498783619679,0.18118896952947908
Naïve Bayes,Concept-Adjacent Shift,0.25,0.5342409663220391,0.5517550744718133,0.7497117478521242,0.4621209208495786
Logistic Regression,Concept-Adjacent Shift,0.25,0.7087726481727915,0.7260149203377119,0.7474187676322768,0.2494472271834565
SVM (RBF),Concept-Adjacent Shift,0.25,0.7560651039000922,0.7643221257106204,0.7998999693674536,0.1778747427953326
Decision Tree,Concept-Adjacent Shift,0.25,0.6755041457672228,0.6974132173720778,0.6732573839575017,0.32449585423277716
Random Forest,Concept-Adjacent Shift,0.25,0.714812160917187,0.7321916252112981,0.8046377974773101,0.1876011254421583
Gradient Boosting,Concept-Adjacent Shift,0.25,0.7185996519602825,0.7345309265445099,0.7830877261567758,0.22798138979748434
AdaBoost,Concept-Adjacent Shift,0.25,0.7365134609478964,0.7494405743396446,0.8031172789089334,0.19900824851964855
Naïve Bayes,Concept-Adjacent Shift,0.5,0.4445695567611833,0.44133087193355086,0.6712061775290182,0.553192078067406
Logistic Regression,Concept-Adjacent Shift,0.5,0.568430750332685,0.5978368365576566,0.64221182757042,0.3922216362785775
SVM (RBF),Concept-Adjacent Shift,0.5,0.6490940730883407,0.6736914758260579,0.7147915945029026,0.2525826167230376
Decision Tree,Concept-Adjacent Shift,0.5,0.5414064899170846,0.5707612634513805,0.6126687164341367,0.4585935100829153
Random Forest,Concept-Adjacent Shift,0.5,0.5763128262872351,0.6053886789320588,0.7455306815286896,0.26977112862683544
Gradient Boosting,Concept-Adjacent Shift,0.5,0.5791790357252533,0.6087249571409792,0.7190010658652705,0.35558527598135575
AdaBoost,Concept-Adjacent Shift,0.5,0.6244241989968267,0.6519486539106687,0.7481977045965743,0.2254789834503189
Naïve Bayes,Concept-Adjacent Shift,0.75,0.36380386938274134,0.32391842036668,0.5978038156342025,0.6349592006206045
Logistic Regression,Concept-Adjacent Shift,0.75,0.4344354591053332,0.44226671166177933,0.5820196794253928,0.5329168369631256
SVM (RBF),Concept-Adjacent Shift,0.75,0.5465247210564029,0.5781161656387852,0.647692877696939,0.3212804748571668
Decision Tree,Concept-Adjacent Shift,0.75,0.4221517043709694,0.4273933478817789,0.5668199330043989,0.5778482956290306
Random Forest,Concept-Adjacent Shift,0.75,0.4347425529736923,0.44340067287155377,0.7299302427499809,0.35026505698297333
Gradient Boosting,Concept-Adjacent Shift,0.75,0.440270242604156,0.4514251991851701,0.7207081310013919,0.47892211616813707
AdaBoost,Concept-Adjacent Shift,0.75,0.5107994677039616,0.5333853187579782,0.7400069518958506,0.25069010372205497
Naïve Bayes,Concept-Adjacent Shift,1.0,0.28436892210052206,0.18446811624202958,0.5350138295414478,0.7150381418569047
Logistic Regression,Concept-Adjacent Shift,1.0,0.30320401269321323,0.2241551937328952,0.5612138373924047,0.6700167722930911
SVM (RBF),Concept-Adjacent Shift,1.0,0.44323881666496057,0.4636185214557692,0.6020408574396279,0.39619442135947996
Decision Tree,Concept-Adjacent Shift,1.0,0.2995188862729041,0.2259344780318032,0.5203630169731476,0.7004811137270959
Random Forest,Concept-Adjacent Shift,1.0,0.2932746442829358,0.21092669446255016,0.7496151937430865,0.42901102733135427
Gradient Boosting,Concept-Adjacent Shift,1.0,0.3038182004299314,0.23005844379841445,0.7736101417327983,0.6030289443706596
AdaBoost,Concept-Adjacent Shift,1.0,0.38386733544886886,0.35729644970642166,0.7483968564399546,0.27774146171899605
